quarter,session,best_bh,best_bm,best_dur,train_pnl,val_pnl,val_trades,val_winrate
2021Q1,Asia,19,1,7,14.7,0.0,0,0.0
2021Q1,London,1,0,10,119.4,16.1,75,29.3
2021Q1,NY,9,28,3,45.8,-33.9,50,24.0
2021Q2,Asia,21,22,10,12.6,0.8,27,70.4
2021Q2,London,2,26,3,87.5,20.5,69,30.4
2021Q2,NY,8,15,5,94.8,-52.6,57,22.8
2021Q3,Asia,21,17,10,8.4,3.5,17,82.4
2021Q3,London,2,43,3,127.4,-38.9,74,24.3
2021Q3,NY,8,27,3,15.8,-0.1,60,28.3
2021Q4,Asia,20,55,10,10.2,8.8,23,78.3
2021Q4,London,4,18,5,31.6,-11.3,66,27.3
2021Q4,NY,11,43,5,45.2,15.3,48,31.2
2022Q1,Asia,21,0,10,18.4,4.6,34,73.5
2022Q1,London,3,58,10,99.4,-2.5,68,27.9
2022Q1,NY,8,0,7,66.0,13.4,74,31.1
2022Q2,Asia,21,32,10,10.6,4.5,27,74.1
2022Q2,London,4,55,3,95.6,-7.2,69,27.5
2022Q2,NY,8,19,10,103.2,-7.4,43,27.9
2022Q3,Asia,21,2,10,15.3,-4.0,27,66.7
2022Q3,London,4,8,5,150.9,-1.1,71,26.8
2022Q3,NY,8,45,3,97.2,-0.3,71,26.8
2022Q4,Asia,20,58,7,13.2,9.3,30,80.0
2022Q4,London,2,10,3,55.0,-31.4,88,25.0
2022Q4,NY,8,53,7,43.3,-10.9,69,27.5
2023Q1,Asia,21,14,10,19.2,1.6,19,73.7
2023Q1,London,4,47,3,124.6,74.3,63,38.1
2023Q1,NY,10,6,3,66.0,30.7,33,36.4
2023Q2,Asia,21,30,5,9.5,-3.2,15,60.0
2023Q2,London,4,37,3,123.2,-61.1,65,20.0
2023Q2,NY,8,31,3,103.9,16.1,48,31.2
2023Q3,Asia,22,4,10,6.1,6.6,22,81.8
2023Q3,London,3,44,3,70.7,-22.6,68,25.0
2023Q3,NY,8,30,3,53.8,-81.2,71,19.7
2023Q4,Asia,21,0,10,15.5,8.9,31,74.2
2023Q4,London,4,0,3,75.2,6.7,74,28.4
2023Q4,NY,11,4,3,58.6,-31.6,37,21.6
2024Q1,Asia,20,59,10,13.7,20.8,37,78.4
2024Q1,London,4,23,10,89.6,-76.9,81,22.2
2024Q1,NY,9,5,5,104.3,-56.2,72,25.0
2024Q2,Asia,20,58,10,26.3,12.1,42,76.2
2024Q2,London,2,40,7,96.9,-10.9,78,28.2
2024Q2,NY,10,15,7,104.2,13.9,55,32.7
2024Q3,Asia,21,8,10,29.0,11.6,35,77.1
2024Q3,London,4,29,3,123.5,-25.3,75,26.7
2024Q3,NY,8,39,10,133.8,15.7,66,31.8
2024Q4,Asia,21,0,10,25.8,8.7,41,70.7
2024Q4,London,2,30,10,155.2,-4.4,89,29.2
2024Q4,NY,9,0,10,127.2,29.3,76,35.5
2025Q1,Asia,20,34,7,20.7,-18.1,53,64.2
2025Q1,London,4,29,10,150.3,-13.5,82,31.7
2025Q1,NY,9,22,3,165.6,-66.9,80,27.5
2025Q2,Asia,20,0,10,53.6,8.8,53,66.0
2025Q2,London,4,26,7,166.6,88.8,77,39.0
2025Q2,NY,10,7,5,170.7,6.8,60,30.0
2025Q3,Asia,21,34,10,26.3,15.0,30,66.7
2025Q3,London,3,17,3,196.6,-32.5,92,30.4
2025Q3,NY,8,20,3,169.6,75.4,82,41.5
2025Q4,Asia,21,17,10,61.7,-2.4,34,61.8
2025Q4,London,3,35,10,201.2,22.5,76,32.9
2025Q4,NY,8,23,10,258.4,44.4,81,34.6
