phase5_variant,quarter,session,session_model,train_time,train_dur,val_pnl,val_wr,val_trades,val_max_dd,avg_box_width,pass
phase5_sanity_any_pattern,Q3 2021,Asia,breakout_pullback,20:10,7,-57.1,4.8,21,-57.1,0.79,False
phase5_sanity_any_pattern,Q3 2021,London,breakout_pullback,02:26,3,-83.9,21.6,102,-112.5,0.82,False
phase5_sanity_any_pattern,Q3 2021,NY,breakout_pullback,08:35,7,-93.1,18.5,65,-88.4,3.14,False
phase5_sanity_any_pattern,Q4 2021,Asia,breakout_pullback,21:20,7,-19.9,0.0,6,-19.9,1.0,False
phase5_sanity_any_pattern,Q4 2021,London,breakout_pullback,02:43,3,11.0,29.0,107,-36.4,0.76,True
phase5_sanity_any_pattern,Q4 2021,NY,breakout_pullback,08:22,3,-14.4,27.6,87,-80.2,1.13,False
phase5_sanity_any_pattern,Q1 2022,Asia,breakout_pullback,21:39,3,-19.0,11.1,9,-19.0,0.82,False
phase5_sanity_any_pattern,Q1 2022,London,breakout_pullback,04:40,3,-3.9,28.6,98,-50.4,1.25,False
phase5_sanity_any_pattern,Q1 2022,NY,breakout_pullback,08:21,3,-5.4,29.5,88,-68.5,1.59,False
phase5_sanity_any_pattern,Q2 2022,Asia,breakout_pullback,20:44,3,-61.2,0.0,18,-61.2,0.73,False
phase5_sanity_any_pattern,Q2 2022,London,breakout_pullback,04:12,10,2.3,28.7,101,-51.7,2.25,True
phase5_sanity_any_pattern,Q2 2022,NY,breakout_pullback,10:37,3,-81.8,19.1,68,-76.8,1.71,False
phase5_sanity_any_pattern,Q3 2022,Asia,breakout_pullback,19:20,10,-20.7,20.0,25,-25.6,0.74,False
phase5_sanity_any_pattern,Q3 2022,London,breakout_pullback,02:32,3,30.0,30.2,96,-50.0,0.82,True
phase5_sanity_any_pattern,Q3 2022,NY,breakout_pullback,08:14,5,-81.1,22.0,82,-86.4,1.79,False
phase5_sanity_any_pattern,Q4 2022,Asia,breakout_pullback,21:49,3,-22.9,0.0,7,-19.7,0.74,False
phase5_sanity_any_pattern,Q4 2022,London,breakout_pullback,04:12,3,-8.9,27.6,105,-48.6,1.12,False
phase5_sanity_any_pattern,Q4 2022,NY,breakout_pullback,08:41,3,-4.5,27.6,76,-55.4,1.22,False
phase5_sanity_any_pattern,Q1 2023,Asia,breakout_pullback,21:11,7,-36.1,0.0,11,-32.5,1.44,False
phase5_sanity_any_pattern,Q1 2023,London,breakout_pullback,04:27,7,44.2,31.7,104,-37.3,1.92,True
phase5_sanity_any_pattern,Q1 2023,NY,breakout_pullback,08:39,10,-19.9,27.4,95,-56.5,2.54,False
phase5_sanity_any_pattern,Q2 2023,Asia,breakout_pullback,21:42,3,-30.0,0.0,9,-30.0,0.89,False
phase5_sanity_any_pattern,Q2 2023,London,breakout_pullback,04:28,3,74.6,34.0,100,-37.6,0.94,True
phase5_sanity_any_pattern,Q2 2023,NY,breakout_pullback,09:55,3,-2.2,29.4,51,-64.2,2.01,False
phase5_sanity_any_pattern,Q3 2023,Asia,breakout_pullback,20:25,5,-31.6,0.0,10,-31.6,0.53,False
