quarter,session,train_time,train_dur,val_pnl,val_wr,val_trades,val_max_dd,pass
Q3 2021,London,02:31,10,-181.1,7.4,94,-174.0,False
Q3 2021,NY,08:41,10,-35.5,25.9,85,-61.3,False
Q4 2021,Asia,21:54,10,-19.6,0.0,6,-19.6,False
Q4 2021,London,02:45,3,-187.2,8.3,108,-181.7,False
Q4 2021,NY,08:22,3,-67.4,23.6,110,-143.0,False
Q1 2022,Asia,22:01,10,-5.2,14.3,7,-13.5,False
Q1 2022,London,04:36,3,-2.0,16.5,103,-112.4,False
Q1 2022,NY,11:18,7,-32.0,25.7,74,-60.5,False
Q2 2022,Asia,20:45,3,-66.2,0.0,19,-66.2,False
Q2 2022,London,01:06,10,-90.0,12.9,124,-140.8,False
Q2 2022,NY,08:31,10,38.8,32.0,103,-55.4,True
Q3 2022,London,01:00,3,-23.3,14.9,114,-74.2,False
Q3 2022,NY,08:47,3,63.0,35.0,80,-30.9,True
Q4 2022,Asia,21:14,7,-30.2,0.0,9,-26.8,False
Q4 2022,London,03:34,3,-240.5,6.5,107,-249.2,False
Q4 2022,NY,08:44,10,44.4,32.2,90,-58.5,True
Q1 2023,London,01:02,3,-147.0,10.6,113,-175.5,False
Q1 2023,NY,08:19,5,-198.9,16.4,122,-214.1,False
Q2 2023,Asia,22:13,3,-19.6,0.0,6,-19.6,False
Q2 2023,London,04:50,3,-61.4,13.8,109,-121.1,False
Q2 2023,NY,10:07,3,-7.3,28.1,64,-38.7,False
Q3 2023,Asia,21:55,7,-18.9,0.0,6,-18.9,False
Q3 2023,London,04:44,3,-231.0,3.6,84,-239.1,False
Q3 2023,NY,08:39,5,-72.3,21.4,84,-116.3,False
Q4 2023,Asia,21:52,10,-16.3,0.0,5,-16.3,False
Q4 2023,London,03:19,3,-74.7,13.3,98,-129.7,False
Q4 2023,NY,08:13,5,-58.5,24.3,103,-95.5,False
Q1 2024,Asia,19:50,7,-73.6,0.0,22,-73.6,False
Q1 2024,London,04:20,3,-72.2,12.6,95,-145.4,False
Q1 2024,NY,10:03,3,13.9,30.5,82,-39.4,True
Q2 2024,Asia,21:58,5,-43.3,5.6,18,-41.7,False
Q2 2024,London,01:49,10,-81.2,14.6,137,-153.8,False
Q2 2024,NY,08:00,3,-66.1,26.7,135,-87.5,False
Q3 2024,Asia,22:32,7,-53.1,0.0,15,-49.4,False
Q3 2024,London,01:28,3,-56.8,14.9,134,-94.2,False
Q3 2024,NY,08:15,3,-77.4,26.9,119,-122.4,False
Q4 2024,Asia,22:48,10,-25.3,8.3,12,-40.3,False
Q4 2024,London,04:31,3,-101.6,13.5,141,-113.3,False
Q4 2024,NY,08:43,7,-3.1,29.5,122,-59.0,False
Q1 2025,Asia,19:06,7,-108.9,6.4,47,-113.7,False
Q1 2025,London,01:45,5,-195.3,10.7,149,-212.0,False
Q1 2025,NY,09:07,7,-29.3,30.6,121,-79.0,False
Q2 2025,Asia,19:31,7,31.8,22.9,96,-67.2,True
Q2 2025,London,02:18,3,50.3,20.1,144,-89.6,True
Q2 2025,NY,10:12,10,35.7,35.5,121,-53.3,True
Q3 2025,Asia,20:00,10,-181.0,7.6,79,-176.5,False
Q3 2025,London,01:03,10,-101.7,14.4,146,-140.8,False
Q3 2025,NY,09:36,5,8.2,33.0,112,-50.3,True
Q4 2025,Asia,22:41,10,35.5,29.6,27,-39.9,True
Q4 2025,London,03:25,3,40.6,21.2,146,-115.6,True
Q4 2025,NY,08:38,10,89.7,40.7,123,-81.9,True
Q1 2026,Asia,20:34,10,-30.8,26.4,91,-88.6,False
Q1 2026,London,02:07,10,117.8,26.2,130,-103.6,True
Q1 2026,NY,08:27,3,118.7,42.4,118,-42.1,True
