NY_prev,Asia,London,NY,count,pct_NY_outcome,pct_of_total
EXPANSION_DN,EXPANSION_DN,EXPANSION_DN,V_DOWN,1,100.0,0.0925925925925926
EXPANSION_DN,EXPANSION_DN,V_DOWN,TREND_DOWN,1,100.0,0.0925925925925926
EXPANSION_DN,EXPANSION_DN,V_UP,TREND_UP,1,100.0,0.0925925925925926
EXPANSION_DN,EXPANSION_UP,EXPANSION_DN,EXPANSION_DN,2,66.66666666666666,0.1851851851851852
EXPANSION_DN,EXPANSION_UP,EXPANSION_DN,TREND_UP,1,33.33333333333333,0.0925925925925926
EXPANSION_DN,EXPANSION_UP,EXPANSION_UP,TREND_UP,1,50.0,0.0925925925925926
EXPANSION_DN,EXPANSION_UP,EXPANSION_UP,V_UP,1,50.0,0.0925925925925926
EXPANSION_DN,EXPANSION_UP,RANGE,TREND_DOWN,1,100.0,0.0925925925925926
EXPANSION_DN,EXPANSION_UP,TREND_UP,TREND_DOWN,2,66.66666666666666,0.1851851851851852
EXPANSION_DN,EXPANSION_UP,TREND_UP,TREND_UP,1,33.33333333333333,0.0925925925925926
EXPANSION_DN,RANGE,RANGE,TREND_UP,1,100.0,0.0925925925925926
EXPANSION_DN,RANGE,TREND_DOWN,TREND_UP,2,100.0,0.1851851851851852
EXPANSION_DN,RANGE,TREND_UP,TREND_DOWN,1,50.0,0.0925925925925926
EXPANSION_DN,RANGE,TREND_UP,V_DOWN,1,50.0,0.0925925925925926
EXPANSION_DN,RANGE,V_UP,TREND_UP,1,100.0,0.0925925925925926
EXPANSION_DN,TREND_DOWN,EXPANSION_DN,TREND_UP,2,66.66666666666666,0.1851851851851852
EXPANSION_DN,TREND_DOWN,EXPANSION_DN,RANGE,1,33.33333333333333,0.0925925925925926
EXPANSION_DN,TREND_DOWN,EXPANSION_UP,V_UP,1,100.0,0.0925925925925926
EXPANSION_DN,TREND_DOWN,RANGE,TREND_UP,3,100.0,0.2777777777777778
EXPANSION_DN,TREND_DOWN,TREND_DOWN,TREND_DOWN,1,50.0,0.0925925925925926
EXPANSION_DN,TREND_DOWN,TREND_DOWN,V_DOWN,1,50.0,0.0925925925925926
EXPANSION_DN,TREND_DOWN,TREND_UP,TREND_DOWN,3,42.857142857142854,0.2777777777777778
EXPANSION_DN,TREND_DOWN,TREND_UP,EXPANSION_UP,2,28.57142857142857,0.1851851851851852
