transition,from_state,to_state,count,pct
NY[t-1] → Asia[t],EXPANSION_DN,EXPANSION_DN,3,4.2
NY[t-1] → Asia[t],EXPANSION_DN,EXPANSION_UP,9,12.7
NY[t-1] → Asia[t],EXPANSION_DN,RANGE,6,8.5
NY[t-1] → Asia[t],EXPANSION_DN,TREND_DOWN,20,28.2
NY[t-1] → Asia[t],EXPANSION_DN,TREND_UP,22,31.0
NY[t-1] → Asia[t],EXPANSION_DN,V_DOWN,6,8.5
NY[t-1] → Asia[t],EXPANSION_DN,V_UP,5,7.0
NY[t-1] → Asia[t],EXPANSION_UP,EXPANSION_DN,6,11.3
NY[t-1] → Asia[t],EXPANSION_UP,EXPANSION_UP,4,7.5
NY[t-1] → Asia[t],EXPANSION_UP,RANGE,7,13.2
NY[t-1] → Asia[t],EXPANSION_UP,TREND_DOWN,14,26.4
NY[t-1] → Asia[t],EXPANSION_UP,TREND_UP,14,26.4
NY[t-1] → Asia[t],EXPANSION_UP,V_DOWN,2,3.8
NY[t-1] → Asia[t],EXPANSION_UP,V_UP,6,11.3
NY[t-1] → Asia[t],RANGE,EXPANSION_DN,11,8.8
NY[t-1] → Asia[t],RANGE,EXPANSION_UP,8,6.4
NY[t-1] → Asia[t],RANGE,RANGE,13,10.4
NY[t-1] → Asia[t],RANGE,TREND_DOWN,24,19.2
NY[t-1] → Asia[t],RANGE,TREND_UP,50,40.0
NY[t-1] → Asia[t],RANGE,V_DOWN,10,8.0
NY[t-1] → Asia[t],RANGE,V_UP,9,7.2
NY[t-1] → Asia[t],TREND_DOWN,EXPANSION_DN,14,4.1
NY[t-1] → Asia[t],TREND_DOWN,EXPANSION_UP,23,6.7
NY[t-1] → Asia[t],TREND_DOWN,RANGE,36,10.5
NY[t-1] → Asia[t],TREND_DOWN,TREND_DOWN,94,27.4
NY[t-1] → Asia[t],TREND_DOWN,TREND_UP,125,36.4
NY[t-1] → Asia[t],TREND_DOWN,V_DOWN,28,8.2
NY[t-1] → Asia[t],TREND_DOWN,V_UP,23,6.7
NY[t-1] → Asia[t],TREND_UP,EXPANSION_DN,15,4.4
NY[t-1] → Asia[t],TREND_UP,EXPANSION_UP,26,7.7
NY[t-1] → Asia[t],TREND_UP,RANGE,31,9.2
NY[t-1] → Asia[t],TREND_UP,TREND_DOWN,100,29.6
NY[t-1] → Asia[t],TREND_UP,TREND_UP,117,34.6
NY[t-1] → Asia[t],TREND_UP,V_DOWN,26,7.7
NY[t-1] → Asia[t],TREND_UP,V_UP,23,6.8
NY[t-1] → Asia[t],V_DOWN,EXPANSION_DN,3,4.3
NY[t-1] → Asia[t],V_DOWN,EXPANSION_UP,5,7.1
NY[t-1] → Asia[t],V_DOWN,RANGE,8,11.4
NY[t-1] → Asia[t],V_DOWN,TREND_DOWN,19,27.1
NY[t-1] → Asia[t],V_DOWN,TREND_UP,25,35.7
NY[t-1] → Asia[t],V_DOWN,V_DOWN,8,11.4
NY[t-1] → Asia[t],V_DOWN,V_UP,2,2.9
NY[t-1] → Asia[t],V_UP,EXPANSION_DN,5,6.2
NY[t-1] → Asia[t],V_UP,EXPANSION_UP,7,8.8
NY[t-1] → Asia[t],V_UP,RANGE,9,11.2
NY[t-1] → Asia[t],V_UP,TREND_DOWN,23,28.7
NY[t-1] → Asia[t],V_UP,TREND_UP,26,32.5
NY[t-1] → Asia[t],V_UP,V_DOWN,7,8.8
NY[t-1] → Asia[t],V_UP,V_UP,3,3.8
Asia[t] → London[t],EXPANSION_DN,EXPANSION_DN,9,15.8
Asia[t] → London[t],EXPANSION_DN,EXPANSION_UP,5,8.8
Asia[t] → London[t],EXPANSION_DN,RANGE,4,7.0
Asia[t] → London[t],EXPANSION_DN,TREND_DOWN,10,17.5
Asia[t] → London[t],EXPANSION_DN,TREND_UP,13,22.8
Asia[t] → London[t],EXPANSION_DN,V_DOWN,8,14.0
Asia[t] → London[t],EXPANSION_DN,V_UP,8,14.0
Asia[t] → London[t],EXPANSION_UP,EXPANSION_DN,11,13.4
Asia[t] → London[t],EXPANSION_UP,EXPANSION_UP,10,12.2
Asia[t] → London[t],EXPANSION_UP,RANGE,6,7.3
Asia[t] → London[t],EXPANSION_UP,TREND_DOWN,14,17.1
Asia[t] → London[t],EXPANSION_UP,TREND_UP,31,37.8
Asia[t] → London[t],EXPANSION_UP,V_DOWN,5,6.1
Asia[t] → London[t],EXPANSION_UP,V_UP,5,6.1
Asia[t] → London[t],RANGE,EXPANSION_DN,4,3.6
Asia[t] → London[t],RANGE,EXPANSION_UP,3,2.7
Asia[t] → London[t],RANGE,RANGE,11,10.0
Asia[t] → London[t],RANGE,TREND_DOWN,37,33.6
Asia[t] → London[t],RANGE,TREND_UP,39,35.5
Asia[t] → London[t],RANGE,V_DOWN,5,4.5
Asia[t] → London[t],RANGE,V_UP,11,10.0
Asia[t] → London[t],TREND_DOWN,EXPANSION_DN,9,3.1
Asia[t] → London[t],TREND_DOWN,EXPANSION_UP,10,3.4
Asia[t] → London[t],TREND_DOWN,RANGE,32,10.9
Asia[t] → London[t],TREND_DOWN,TREND_DOWN,87,29.6
Asia[t] → London[t],TREND_DOWN,TREND_UP,103,35.0
Asia[t] → London[t],TREND_DOWN,V_DOWN,23,7.8
Asia[t] → London[t],TREND_DOWN,V_UP,30,10.2
Asia[t] → London[t],TREND_UP,EXPANSION_DN,22,5.8
Asia[t] → London[t],TREND_UP,EXPANSION_UP,23,6.1
Asia[t] → London[t],TREND_UP,RANGE,41,10.8
Asia[t] → London[t],TREND_UP,TREND_DOWN,118,31.1
Asia[t] → London[t],TREND_UP,TREND_UP,126,33.2
Asia[t] → London[t],TREND_UP,V_DOWN,23,6.1
Asia[t] → London[t],TREND_UP,V_UP,26,6.9
Asia[t] → London[t],V_DOWN,EXPANSION_DN,3,3.4
Asia[t] → London[t],V_DOWN,EXPANSION_UP,4,4.6
Asia[t] → London[t],V_DOWN,RANGE,9,10.3
Asia[t] → London[t],V_DOWN,TREND_DOWN,31,35.6
Asia[t] → London[t],V_DOWN,TREND_UP,27,31.0
Asia[t] → London[t],V_DOWN,V_DOWN,4,4.6
Asia[t] → London[t],V_DOWN,V_UP,9,10.3
Asia[t] → London[t],V_UP,EXPANSION_DN,5,7.0
Asia[t] → London[t],V_UP,EXPANSION_UP,8,11.3
Asia[t] → London[t],V_UP,RANGE,12,16.9
Asia[t] → London[t],V_UP,TREND_DOWN,20,28.2
Asia[t] → London[t],V_UP,TREND_UP,18,25.4
Asia[t] → London[t],V_UP,V_DOWN,5,7.0
Asia[t] → London[t],V_UP,V_UP,3,4.2
London[t] → NY[t],EXPANSION_DN,EXPANSION_DN,15,23.8
London[t] → NY[t],EXPANSION_DN,EXPANSION_UP,4,6.3
London[t] → NY[t],EXPANSION_DN,RANGE,6,9.5
London[t] → NY[t],EXPANSION_DN,TREND_DOWN,11,17.5
London[t] → NY[t],EXPANSION_DN,TREND_UP,22,34.9
London[t] → NY[t],EXPANSION_DN,V_DOWN,4,6.3
London[t] → NY[t],EXPANSION_DN,V_UP,1,1.6
London[t] → NY[t],EXPANSION_UP,EXPANSION_DN,3,4.8
London[t] → NY[t],EXPANSION_UP,EXPANSION_UP,3,4.8
London[t] → NY[t],EXPANSION_UP,RANGE,11,17.5
London[t] → NY[t],EXPANSION_UP,TREND_DOWN,18,28.6
London[t] → NY[t],EXPANSION_UP,TREND_UP,15,23.8
London[t] → NY[t],EXPANSION_UP,V_DOWN,6,9.5
London[t] → NY[t],EXPANSION_UP,V_UP,7,11.1
London[t] → NY[t],RANGE,EXPANSION_DN,4,3.5
London[t] → NY[t],RANGE,EXPANSION_UP,7,6.1
London[t] → NY[t],RANGE,RANGE,10,8.7
London[t] → NY[t],RANGE,TREND_DOWN,40,34.8
London[t] → NY[t],RANGE,TREND_UP,32,27.8
London[t] → NY[t],RANGE,V_DOWN,10,8.7
London[t] → NY[t],RANGE,V_UP,12,10.4
London[t] → NY[t],TREND_DOWN,EXPANSION_DN,20,6.3
London[t] → NY[t],TREND_DOWN,EXPANSION_UP,16,5.0
London[t] → NY[t],TREND_DOWN,RANGE,27,8.5
London[t] → NY[t],TREND_DOWN,TREND_DOWN,104,32.8
London[t] → NY[t],TREND_DOWN,TREND_UP,105,33.1
London[t] → NY[t],TREND_DOWN,V_DOWN,17,5.4
London[t] → NY[t],TREND_DOWN,V_UP,28,8.8
London[t] → NY[t],TREND_UP,EXPANSION_DN,15,4.2
London[t] → NY[t],TREND_UP,EXPANSION_UP,20,5.6
London[t] → NY[t],TREND_UP,RANGE,44,12.3
London[t] → NY[t],TREND_UP,TREND_DOWN,133,37.3
London[t] → NY[t],TREND_UP,TREND_UP,102,28.6
